,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-07-10 00:00:00+00:00,,,,,,,,,,12.0936450629,,17.7019480245,13.2454997361,19.0677428674,41.3511136744,15.4118575379,,13.266806728,21.4594885722,21.6543991212,,
2000-07-11 00:00:00+00:00,,,,,,,,,,12.7365369268,,18.3367028632,13.3087492374,19.4357168526,41.0136161783,15.417915658,,13.1463678401,21.2204865058,21.8083585888,,
2000-07-12 00:00:00+00:00,,,,,,,,,,12.6698217334,,18.0934790465,13.4984977414,19.5093116496,42.0644606549,15.1089515328,,13.2019550191,21.6115807963,21.8699423759,,
2000-07-13 00:00:00+00:00,,,,,,,,,,12.8153821554,,17.8146615006,13.366727947,19.6631916798,42.8851932023,14.878742969,,13.262174463,21.6840056649,21.4619497867,,
2000-07-14 00:00:00+00:00,,,,,,,,,,12.5545863993,,17.7968646359,13.5881012016,19.8639047626,43.6752441592,14.7091156061,,13.0768838663,22.0244025475,21.7236808817,,
2000-07-17 00:00:00+00:00,,,,,,,,,,12.3605058366,,17.5655053957,13.3351031963,19.9776421762,44.0357528482,14.7878711674,,12.9703417731,21.7491880467,21.6005133076,,
2000-07-18 00:00:00+00:00,,,,,,,,,,12.1664252739,,17.7256771774,13.3561863634,20.0311656649,43.1459867221,14.8060455277,,12.919386859,21.4087911642,21.6543991212,,
2000-07-19 00:00:00+00:00,,,,,,,,,,12.1664252739,,17.6782188717,13.3087492374,19.8639047626,42.1871870171,14.824219888,,13.0490902768,21.5463984146,21.3772720795,,
2000-07-20 00:00:00+00:00,,,,,,,,,,12.0754500101,,17.5002502253,13.6460799112,20.104760462,43.0769531433,14.5758369639,,12.8406383554,21.8867952971,21.3156882924,,
2000-07-21 00:00:00+00:00,,,,,,,,,,12.1300351684,,17.1680420855,13.6039135769,20.0713082815,42.1411646313,14.6182438046,,12.9703417731,21.3436087824,21.2695004522,,
2000-07-24 00:00:00+00:00,,,,,,,,,,12.1482302211,,16.9900734391,13.6882462454,19.9241186874,41.10566095,14.9211498097,,12.9286513889,21.1408191503,20.9307896234,,
2000-07-25 00:00:00+00:00,,,,,,,,,,11.9966047815,,16.8358339456,13.7146002043,19.964261304,41.8036671352,14.6545925252,,13.035193482,21.1480616372,20.9769774637,,
2000-07-26 00:00:00+00:00,,,,,,,,,,11.9238245705,,16.9722765745,13.6460799112,19.7167151685,41.2513985051,14.6606506453,,12.9147545941,20.9814844393,20.9076957032,,
